




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (5892)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
Unclassified (UNCLASSIFIED)	2744	526	785.03	-	.67	1.15E-20	2.46E-18
cellular calcium ion homeostasis (GO:0006874)	425	81	121.59	-	.67	5.35E-04	1.51E-02
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	93	140.76	-	.66	1.29E-04	4.29E-03
positive regulation of immune response (GO:0050778)	747	141	213.71	-	.66	1.82E-06	8.58E-05
positive regulation of cytokine production (GO:0001819)	489	92	139.90	-	.66	1.22E-04	4.08E-03
immune response-regulating signaling pathway (GO:0002764)	495	93	141.61	-	.66	1.08E-04	3.67E-03
immune response (GO:0006955)	2075	385	593.63	-	.65	1.24E-17	1.94E-15
blood circulation (GO:0008015)	390	72	111.57	-	.65	3.67E-04	1.10E-02
response to other organism (GO:0051707)	1425	261	407.68	-	.64	9.81E-13	9.88E-11
response to external biotic stimulus (GO:0043207)	1426	261	407.96	-	.64	8.05E-13	8.20E-11
regulation of ion transport (GO:0043269)	703	128	201.12	-	.64	6.60E-07	3.39E-05
positive regulation of ion transport (GO:0043270)	297	54	84.97	-	.64	1.51E-03	3.57E-02
positive regulation of cell activation (GO:0050867)	440	79	125.88	-	.63	6.13E-05	2.20E-03
positive regulation of leukocyte activation (GO:0002696)	429	77	122.73	-	.63	7.79E-05	2.73E-03
activation of immune response (GO:0002253)	530	95	151.63	-	.63	9.04E-06	3.75E-04
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	81	130.17	-	.62	3.27E-05	1.22E-03
immune response-activating signal transduction (GO:0002757)	455	81	130.17	-	.62	3.27E-05	1.22E-03
positive regulation of lymphocyte activation (GO:0051251)	384	67	109.86	-	.61	9.73E-05	3.34E-03
trans-synaptic signaling (GO:0099537)	432	75	123.59	-	.61	2.47E-05	9.45E-04
positive regulation of cytosolic calcium ion concentration (GO:0007204)	283	49	80.96	-	.61	6.85E-04	1.84E-02
cell adhesion (GO:0007155)	953	164	272.64	-	.60	1.07E-10	9.08E-09
chemical synaptic transmission (GO:0007268)	414	71	118.44	-	.60	2.64E-05	9.98E-04
anterograde trans-synaptic signaling (GO:0098916)	414	71	118.44	-	.60	2.64E-05	9.95E-04
regulation of cytosolic calcium ion concentration (GO:0051480)	321	55	91.83	-	.60	2.20E-04	7.00E-03
biological adhesion (GO:0022610)	959	164	274.36	-	.60	5.72E-11	5.02E-09
positive regulation of immune effector process (GO:0002699)	234	40	66.94	-	.60	1.65E-03	3.86E-02
negative regulation of immune system process (GO:0002683)	597	101	170.80	-	.59	2.14E-07	1.19E-05
epidermis development (GO:0008544)	422	70	120.73	-	.58	8.53E-06	3.58E-04
sensory perception of light stimulus (GO:0050953)	220	36	62.94	-	.57	1.12E-03	2.79E-02
defense response (GO:0006952)	1426	233	407.96	-	.57	4.37E-18	7.19E-16
defense response to other organism (GO:0098542)	1038	168	296.96	-	.57	1.00E-13	1.10E-11
innate immune response (GO:0045087)	848	137	242.60	-	.56	1.99E-11	1.79E-09
system process (GO:0003008)	2057	325	588.48	-	.55	1.15E-28	4.42E-26
visual perception (GO:0007601)	217	34	62.08	-	.55	5.72E-04	1.58E-02
extracellular structure organization (GO:0043062)	384	60	109.86	-	.55	3.70E-06	1.63E-04
skin development (GO:0043588)	385	60	110.14	-	.54	2.90E-06	1.29E-04
extracellular matrix organization (GO:0030198)	383	59	109.57	-	.54	2.03E-06	9.42E-05
response to interferon-gamma (GO:0034341)	183	28	52.35	-	.53	1.14E-03	2.82E-02
external encapsulating structure organization (GO:0045229)	386	59	110.43	-	.53	1.61E-06	7.71E-05
cell chemotaxis (GO:0060326)	203	31	58.08	-	.53	6.43E-04	1.74E-02
regulation of tumor necrosis factor superfamily cytokine production (GO:1903555)	164	25	46.92	-	.53	2.05E-03	4.67E-02
phagocytosis (GO:0006909)	329	50	94.12	-	.53	8.95E-06	3.72E-04
negative regulation of defense response (GO:0031348)	402	61	115.01	-	.53	8.12E-07	4.13E-05
cell-cell adhesion (GO:0098609)	515	78	147.34	-	.53	1.44E-08	9.34E-07
negative regulation of response to external stimulus (GO:0032102)	559	84	159.92	-	.53	2.87E-09	2.02E-07
regulation of B cell activation (GO:0050864)	216	32	61.80	-	.52	2.16E-04	6.89E-03
sodium ion transport (GO:0006814)	176	26	50.35	-	.52	8.76E-04	2.24E-02
negative regulation of immune response (GO:0050777)	373	55	106.71	-	.52	7.48E-07	3.83E-05
inflammatory response (GO:0006954)	498	72	142.47	-	.51	3.88E-09	2.70E-07
potassium ion transport (GO:0006813)	167	24	47.78	-	.50	8.49E-04	2.18E-02
regulation of blood pressure (GO:0008217)	188	27	53.78	-	.50	3.71E-04	1.11E-02
regulation of interleukin-6 production (GO:0032675)	140	20	40.05	-	.50	2.17E-03	4.91E-02
production of molecular mediator of immune response (GO:0002440)	141	20	40.34	-	.50	2.20E-03	4.95E-02
regulation of immune effector process (GO:0002697)	435	61	124.45	-	.49	1.58E-08	1.02E-06
potassium ion transmembrane transport (GO:0071805)	158	22	45.20	-	.49	8.12E-04	2.10E-02
nervous system process (GO:0050877)	1416	196	405.10	-	.48	1.32E-26	4.16E-24
leukocyte migration (GO:0050900)	379	52	108.43	-	.48	6.30E-08	3.75E-06
response to bacterium (GO:0009617)	721	98	206.27	-	.48	2.01E-14	2.30E-12
regulation of inflammatory response (GO:0050727)	518	70	148.19	-	.47	1.00E-10	8.62E-09
epidermal cell differentiation (GO:0009913)	322	43	92.12	-	.47	3.25E-07	1.76E-05
membrane invagination (GO:0010324)	148	19	42.34	-	.45	3.64E-04	1.10E-02
cell killing (GO:0001906)	126	16	36.05	-	.44	1.10E-03	2.75E-02
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	134	17	38.34	-	.44	7.68E-04	2.01E-02
positive regulation of B cell activation (GO:0050871)	171	21	48.92	-	.43	7.67E-05	2.69E-03
myeloid leukocyte migration (GO:0097529)	124	15	35.48	-	.42	6.72E-04	1.80E-02
monocarboxylic acid transport (GO:0015718)	100	12	28.61	-	.42	2.03E-03	4.63E-02
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	26	63.51	-	.41	1.65E-06	7.84E-05
detection of abiotic stimulus (GO:0009582)	139	16	39.77	-	.40	1.43E-04	4.71E-03
regulation of interferon-gamma production (GO:0032649)	113	13	32.33	-	.40	7.79E-04	2.04E-02
negative regulation of inflammatory response (GO:0050728)	320	36	91.55	-	.39	2.48E-09	1.77E-07
regulation of postsynaptic membrane potential (GO:0060078)	99	11	28.32	-	.39	1.18E-03	2.90E-02
regulation of systemic arterial blood pressure (GO:0003073)	100	11	28.61	-	.38	1.21E-03	2.96E-02
detection of external stimulus (GO:0009581)	137	15	39.19	-	.38	1.15E-04	3.87E-03
sodium ion transmembrane transport (GO:0035725)	119	13	34.04	-	.38	3.13E-04	9.58E-03
chloride transport (GO:0006821)	103	11	29.47	-	.37	6.35E-04	1.72E-02
leukocyte chemotaxis (GO:0030595)	143	15	40.91	-	.37	4.54E-05	1.65E-03
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	27	73.81	-	.37	1.66E-08	1.07E-06
lymphocyte mediated immunity (GO:0002449)	259	27	74.10	-	.36	1.67E-08	1.07E-06
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	28	76.96	-	.36	8.75E-09	5.86E-07
cell recognition (GO:0008037)	241	25	68.95	-	.36	4.48E-08	2.73E-06
neutrophil migration (GO:1990266)	87	9	24.89	-	.36	1.30E-03	3.14E-02
sensory perception (GO:0007600)	979	98	280.08	-	.35	6.32E-31	2.63E-28
chemokine-mediated signaling pathway (GO:0070098)	80	8	22.89	-	.35	1.86E-03	4.29E-02
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	10	29.18	-	.34	3.52E-04	1.06E-02
granulocyte migration (GO:0097530)	95	9	27.18	-	.33	3.51E-04	1.06E-02
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	21	63.51	-	.33	2.49E-08	1.57E-06
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	86	8	24.60	-	.33	6.89E-04	1.84E-02
plasma membrane invagination (GO:0099024)	141	13	40.34	-	.32	9.23E-06	3.80E-04
killing of cells of other organism (GO:0031640)	87	8	24.89	-	.32	7.14E-04	1.89E-02
immunoglobulin mediated immune response (GO:0016064)	201	18	57.50	-	.31	4.69E-08	2.83E-06
extracellular matrix disassembly (GO:0022617)	68	6	19.45	-	.31	1.90E-03	4.37E-02
G protein-coupled receptor signaling pathway (GO:0007186)	1305	115	373.35	-	.31	4.91E-48	4.31E-45
defense response to Gram-negative bacterium (GO:0050829)	91	8	26.03	-	.31	2.49E-04	7.85E-03
B cell mediated immunity (GO:0019724)	205	18	58.65	-	.31	2.39E-08	1.51E-06
sensory perception of taste (GO:0050909)	69	6	19.74	-	.30	1.93E-03	4.42E-02
regulation of leukocyte mediated cytotoxicity (GO:0001910)	82	7	23.46	-	.30	4.84E-04	1.38E-02
keratinocyte differentiation (GO:0030216)	270	23	77.24	-	.30	6.42E-11	5.61E-09
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	17	59.51	-	.29	4.13E-09	2.86E-07
positive regulation of interferon-gamma production (GO:0032729)	74	6	21.17	-	.28	6.63E-04	1.79E-02
negative regulation of tumor necrosis factor superfamily cytokine production (GO:1903556)	62	5	17.74	-	.28	1.85E-03	4.29E-02
neutrophil chemotaxis (GO:0030593)	77	6	22.03	-	.27	4.76E-04	1.36E-02
antimicrobial humoral response (GO:0019730)	154	12	44.06	-	.27	2.82E-07	1.55E-05
adaptive immune response (GO:0002250)	658	51	188.25	-	.27	1.05E-27	3.78E-25
granulocyte chemotaxis (GO:0071621)	82	6	23.46	-	.26	1.58E-04	5.16E-03
defense response to bacterium (GO:0042742)	350	25	100.13	-	.25	3.18E-16	4.53E-14
regulation of humoral immune response (GO:0002920)	142	10	40.62	-	.25	2.34E-07	1.30E-05
peptide cross-linking (GO:0018149)	102	7	29.18	-	.24	1.36E-05	5.43E-04
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	11	47.78	-	.23	1.02E-08	6.81E-07
detection of stimulus (GO:0051606)	721	45	206.27	-	.22	4.35E-36	2.08E-33
humoral immune response (GO:0006959)	386	24	110.43	-	.22	7.64E-20	1.47E-17
cornification (GO:0070268)	113	7	32.33	-	.22	1.43E-06	6.91E-05
chloride transmembrane transport (GO:1902476)	65	4	18.60	-	.22	3.90E-04	1.15E-02
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	6	28.61	-	.21	5.56E-06	2.38E-04
defense response to fungus (GO:0050832)	51	3	14.59	-	.21	1.55E-03	3.65E-02
neuropeptide signaling pathway (GO:0007218)	109	6	31.18	-	.19	8.01E-07	4.08E-05
regulation of complement activation (GO:0030449)	118	6	33.76	-	.18	1.78E-07	1.00E-05
phagocytosis, engulfment (GO:0006911)	132	6	37.76	-	.16	6.99E-09	4.74E-07
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	3	19.17	-	.16	6.66E-05	2.38E-03
regulation of cyclase activity (GO:0031279)	48	2	13.73	-	.15	8.95E-04	2.28E-02
lymphocyte chemotaxis (GO:0048247)	49	2	14.02	-	.14	5.60E-04	1.55E-02
keratinization (GO:0031424)	227	9	64.94	-	.14	1.91E-15	2.56E-13
B cell receptor signaling pathway (GO:0050853)	129	5	36.91	-	.14	3.46E-09	2.43E-07
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	5	47.20	-	.11	1.28E-12	1.28E-10
detection of biotic stimulus (GO:0009595)	38	1	10.87	-	.09	1.46E-03	3.50E-02
complement activation, classical pathway (GO:0006958)	161	4	46.06	-	.09	2.77E-13	2.92E-11
sensory perception of bitter taste (GO:0050913)	41	1	11.73	-	.09	5.81E-04	1.60E-02
monocyte chemotaxis (GO:0002548)	42	1	12.02	-	.08	3.75E-04	1.12E-02
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	1	12.02	-	.08	3.75E-04	1.12E-02
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339)	42	1	12.02	-	.08	3.75E-04	1.11E-02
complement activation (GO:0006956)	177	4	50.64	-	.08	9.18E-15	1.10E-12
sensory perception of chemical stimulus (GO:0007606)	543	12	155.35	-	.08	4.38E-44	2.88E-41
detection of stimulus involved in sensory perception (GO:0050906)	557	11	159.35	-	.07	1.49E-46	1.18E-43
phagocytosis, recognition (GO:0006910)	106	2	30.33	-	.07	1.53E-09	1.12E-07
detection of chemical stimulus (GO:0009593)	522	8	149.34	-	.05	3.53E-46	2.65E-43
sensory perception of smell (GO:0007608)	468	4	133.89	-	.03	2.11E-45	1.52E-42
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	3	139.04	-	.02	7.69E-49	7.15E-46
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	1	126.17	-	 < 0.01	3.91E-47	3.25E-44
serotonin receptor signaling pathway (GO:0007210)	39	0	11.16	-	 < 0.01	1.21E-04	4.08E-03
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	10.30	-	 < 0.01	1.77E-04	5.71E-03
G protein-coupled serotonin receptor signaling pathway (GO:0098664)	34	0	9.73	-	 < 0.01	2.82E-04	8.73E-03
opsonization (GO:0008228)	72	0	20.60	-	 < 0.01	2.82E-08	1.76E-06
plasma lipoprotein particle remodeling (GO:0034369)	32	0	9.15	-	 < 0.01	4.51E-04	1.30E-02
protein-lipid complex remodeling (GO:0034368)	32	0	9.15	-	 < 0.01	4.51E-04	1.30E-02
